Año;Localidad;sin_km
2017;Metropolitana;2.74
2018;Metropolitana;2.75
2019;Metropolitana;2.42
2020;Metropolitana;1.66
2021;Metropolitana;2.49
2022;Metropolitana;2.04
2017;Norte - Centro Historico;12.57
2018;Norte - Centro Historico;11.44
2019;Norte - Centro Historico;10.49
2020;Norte - Centro Historico;6.08
2021;Norte - Centro Historico;7.92
2022;Norte - Centro Historico;6.42
2017;Riomar;8.24
2018;Riomar;7.44
2019;Riomar;6.41
2020;Riomar;3.42
2021;Riomar;5.83
2022;Riomar;4.1
2017;Suroccidente;3.96
2018;Suroccidente;3.78
2019;Suroccidente;3.94
2020;Suroccidente;2.28
2021;Suroccidente;3.41
2022;Suroccidente;2.5
2017;Suroriental;6.1
2018;Suroriental;5.6
2019;Suroriental;6.11
2020;Suroriental;3.24
2021;Suroriental;4.55
2022;Suroriental;3.73
