año;Localidad;sin_hab
2017;Metropolitana;3.02
2018;Metropolitana;3.02
2019;Metropolitana;2.64
2020;Metropolitana;1.81
2021;Metropolitana;2.72
2022;Metropolitana;2.22
2017;Norte - Centro Historico;29.15
2018;Norte - Centro Historico;26.44
2019;Norte - Centro Historico;24.16
2020;Norte - Centro Historico;13.97
2021;Norte - Centro Historico;18.14
2022;Norte - Centro Historico;14.68
2017;Riomar;21.13
2018;Riomar;19
2019;Riomar;16.34
2020;Riomar;8.68
2021;Riomar;14.78
2022;Riomar;10.37
2017;Suroccidente;5.21
2018;Suroccidente;4.96
2019;Suroccidente;5.15
2020;Suroccidente;2.97
2021;Suroccidente;4.44
2022;Suroccidente;3.24
2017;Suroriental;7.62
2018;Suroriental;6.98
2019;Suroriental;7.59
2020;Suroriental;4.01
2021;Suroriental;5.62
2022;Suroriental;4.6
